student_id,age,gender,course,year,parent_education,internet_access,hostel_resident
1,17,male,pharmacy,"1st year","high school",no,yes
2,23,other,diploma,"2nd year","high school",yes,yes
3,22,male,b.sc,"3rd year","no formal",yes,yes
4,20,other,pharmacy,"2nd year","no formal",yes,yes
5,20,female,pharmacy,"1st year","no formal",yes,yes
6,23,male,b.tech,"4th year","no formal",yes,yes
7,17,female,b.tech,"1st year",phd,yes,no
8,22,male,b.com,"1st year","no formal",yes,yes
9,18,other,nursing,"2nd year","high school",no,yes
10,17,male,bca,"1st year",phd,yes,yes
11,21,female,bba,"3rd year","no formal",yes,yes
12,24,male,ba,"2nd year","post graduate",no,no
13,22,female,bba,"4th year","high school",yes,no
14,23,female,bca,"1st year","high school",yes,yes
15,22,male,b.tech,"2nd year",graduate,yes,yes
16,23,other,bca,"3rd year",graduate,no,yes
17,21,male,b.sc,"3rd year","post graduate",no,no
18,18,male,nursing,"2nd year","post graduate",yes,yes
19,23,female,b.sc,"4th year","no formal",no,yes
20,20,male,b.tech,"4th year","no formal",yes,no
21,21,female,ba,"3rd year","post graduate",yes,no
22,19,other,ba,"3rd year","high school",yes,yes
23,18,male,bba,"3rd year","no formal",yes,yes
24,24,female,nursing,"2nd year",graduate,yes,yes
25,23,male,diploma,"3rd year","high school",yes,yes
26,22,male,ba,"4th year",phd,yes,yes
27,20,male,diploma,"1st year",phd,yes,no
28,23,male,bba,"1st year","no formal",no,yes
29,21,female,b.com,"2nd year","post graduate",yes,yes
30,20,other,b.tech,"3rd year",phd,yes,no
31,20,other,b.tech,"1st year","post graduate",yes,no
32,18,male,b.com,"3rd year","post graduate",yes,no
33,17,other,nursing,"1st year",graduate,yes,yes
34,21,female,bba,"1st year",graduate,yes,no
35,24,female,bba,"2nd year","no formal",no,yes
36,17,other,ba,"1st year","no formal",yes,yes
37,23,female,b.com,"3rd year","post graduate",yes,no
38,23,male,diploma,"3rd year",graduate,yes,yes
39,19,female,b.tech,"3rd year","no formal",yes,no
40,22,other,bca,"3rd year","high school",yes,no
41,18,other,pharmacy,"3rd year","post graduate",yes,no
42,23,male,nursing,"3rd year","no formal",no,yes
43,22,other,ba,"3rd year","high school",yes,yes
44,19,male,nursing,"1st year",phd,yes,no
45,17,other,b.com,"3rd year",graduate,yes,yes
46,24,male,b.com,"1st year",graduate,yes,yes
47,20,male,ba,"1st year","no formal",yes,yes
48,24,other,b.tech,"4th year","no formal",yes,yes
49,22,female,b.com,"1st year","post graduate",yes,yes
50,23,male,nursing,"1st year","high school",yes,yes
51,23,male,diploma,"2nd year","high school",yes,no
52,18,male,b.com,"4th year","no formal",yes,yes
53,19,male,b.com,"4th year","post graduate",yes,no
54,20,other,ba,"3rd year",phd,no,no
55,20,male,b.sc,"1st year","high school",yes,no
56,17,male,b.sc,"3rd year","high school",yes,yes
57,21,other,pharmacy,"4th year","post graduate",yes,no
58,18,other,diploma,"2nd year",graduate,yes,yes
59,22,male,diploma,"2nd year","post graduate",no,no
60,22,female,b.com,"4th year","post graduate",yes,no
61,24,female,nursing,"1st year","post graduate",yes,no
62,22,female,b.sc,"4th year","no formal",yes,yes
63,19,male,pharmacy,"2nd year",graduate,yes,yes
64,24,other,bba,"3rd year",graduate,yes,no
65,20,other,b.com,"2nd year",phd,yes,yes
66,19,other,diploma,"3rd year","post graduate",yes,yes
67,24,other,ba,"4th year","post graduate",yes,yes
68,19,male,b.com,"2nd year",phd,yes,yes
69,17,female,diploma,"1st year","post graduate",yes,no
70,20,other,diploma,"1st year","post graduate",yes,yes
71,23,female,bca,"4th year",graduate,yes,no
72,18,other,bba,"4th year","no formal",yes,no
73,20,female,b.com,"3rd year","post graduate",yes,no
