student_id,age,gender,course,year,parent_education,internet_access,hostel_resident
200.99,17,male,pharmacy,1st year,high school,no,yes
200.99,23,other,diploma,2nd year,high school,yes,yes
200.99,22,male,b.sc,3rd year,no formal,yes,yes
200.99,20,other,pharmacy,2nd year,no formal,yes,yes
200.99,20,female,pharmacy,1st year,no formal,yes,yes
200.99,23,male,b.tech,4th year,no formal,yes,yes
200.99,17,female,b.tech,1st year,phd,yes,no
200.99,22,male,b.com,1st year,no formal,yes,yes
200.99,18,other,nursing,2nd year,high school,no,yes
200.99,17,male,bca,1st year,phd,yes,yes
200.99,21,female,bba,3rd year,no formal,yes,yes
200.99,24,male,ba,2nd year,post graduate,no,no
200.99,22,female,bba,4th year,high school,yes,no
200.99,23,female,bca,1st year,high school,yes,yes
200.99,22,male,b.tech,2nd year,graduate,yes,yes
200.99,23,other,bca,3rd year,graduate,no,yes
200.99,21,male,b.sc,3rd year,post graduate,no,no
200.99,18,male,nursing,2nd year,post graduate,yes,yes
200.99,23,female,b.sc,4th year,no formal,no,yes
200.99,20,male,b.tech,4th year,no formal,yes,no
200.99,21,female,ba,3rd year,post graduate,yes,no
200.99,19,other,ba,3rd year,high school,yes,yes
200.99,18,male,bba,3rd year,no formal,yes,yes
200.99,24,female,nursing,2nd year,graduate,yes,yes
200.99,23,male,diploma,3rd year,high school,yes,yes
200.99,22,male,ba,4th year,phd,yes,yes
200.99,20,male,diploma,1st year,phd,yes,no
200.99,23,male,bba,1st year,no formal,no,yes
200.99,21,female,b.com,2nd year,post graduate,yes,yes
200.99,20,other,b.tech,3rd year,phd,yes,no
200.99,20,other,b.tech,1st year,post graduate,yes,no
200.99,18,male,b.com,3rd year,post graduate,yes,no
200.99,17,other,nursing,1st year,graduate,yes,yes
200.99,21,female,bba,1st year,graduate,yes,no
200.99,24,female,bba,2nd year,no formal,no,yes
200.99,17,other,ba,1st year,no formal,yes,yes
200.99,23,female,b.com,3rd year,post graduate,yes,no
200.99,23,male,diploma,3rd year,graduate,yes,yes
200.99,19,female,b.tech,3rd year,no formal,yes,no
200.99,22,other,bca,3rd year,high school,yes,no
200.99,18,other,pharmacy,3rd year,post graduate,yes,no
